Radius,Coil_diameter,Pitch_angle,Pitch_length,Stress
1.452440038,1.772388014,70.02948034,25.11353879,46.82198846
1.521867419,2.232724139,3.714409868,0.620773099,50.44086347
1.531094178,2.465780618,64.84395115,20.48462873,48.56712781
1.560763756,2.677383294,68.43577688,24.81382092,54.49621744
1.630176886,1.177021815,6.070793957,1.089348748,57.69251695
1.632274329,2.550320722,58.69760331,16.86637332,39.57431733
1.67011885,2.116160113,55.35808859,15.18765476,46.18419668
1.677437719,1.861519616,57.30620974,16.42110975,57.51111409
1.681843764,1.722925883,3.694962268,0.682425954,52.02481724
1.721456514,2.935735203,83.50586292,95.01927977,55.60182227
1.730344368,1.94795343,6.4712949,1.233199114,37.30420858
1.733523496,2.998306103,67.35509017,26.10876724,53.16752244
1.747921198,2.470980889,82.59929164,84.55247999,62.9206932
1.767239588,2.192515762,3.274098936,0.635210318,55.05877174
1.786658764,1.237460028,6.370164738,1.253268549,60.40850731
1.79365236,3.295302335,73.96182899,39.20404541,58.3294301
1.798387811,3.184519301,66.29475779,25.73481839,47.93627607
1.79893082,2.3892314,74.99172751,42.15907984,55.26120052
1.810914073,3.084245176,63.90742637,23.23363964,49.52243403
1.811268977,1.344907404,2.877572681,0.572047182,54.50673208
1.827566856,1.606209497,6.533475113,1.315112356,49.41941295
1.833219071,0.976397338,2.320116656,0.46667968,57.01121759
1.83521286,1.762115426,6.597961568,1.333764461,56.62543984
1.854396718,2.286123973,63.76674978,23.64436434,44.91579081
1.85821932,3.156370833,66.48840009,26.83703561,48.94206519
1.859062936,1.501545398,87.75600818,298.0939684,58.85409508
1.863785612,2.7326121,69.45376117,31.24429218,44.25984607
1.864005931,2.265771394,63.5251667,23.51628842,45.58006399
1.88128237,3.653654145,68.07137022,29.36187904,48.04098105
1.890250396,2.999274683,62.99599223,23.30548953,42.10697514
1.914720063,1.95755495,87.94253965,334.880289,60.78417744
1.916555328,1.521770206,6.625251505,1.39869383,36.64650024
1.920947335,2.180249719,63.16742178,23.86016103,52.84189336
1.925226995,2.935029665,57.83756467,19.23696685,41.67988169
1.94021049,2.434375613,62.78588551,23.70617445,48.94676662
1.949137621,2.740641929,67.30991893,29.29114305,58.5792321
1.953664019,2.32725058,66.79989438,28.64011873,54.01793278
1.954749427,2.884292593,71.95188634,37.69254333,44.05094868
1.970155375,3.673264858,66.14453777,27.99319236,45.10068243
1.984924471,2.355837698,60.18333399,21.76204483,54.3378133
1.986034669,3.232884925,57.69537721,19.73570538,30.37125027
1.994050405,0.937463542,2.36364838,0.517157353,66.53742973
1.994130374,3.744916209,64.04235291,25.73753192,44.95324301
1.994296739,1.218245279,6.75573954,1.484359497,54.6651773
2.0006912,2.45384988,76.14798252,50.97893637,63.61119956
2.013997636,3.100543164,66.55923189,29.18541632,52.34615424
2.019150736,3.228948415,75.89579532,50.49217997,50.204255
2.028719536,2.789619305,55.24116962,18.36842093,39.00207887
2.032577352,1.628816059,5.796165895,1.296373561,52.21609102
2.036415499,1.072799457,2.901113537,0.648424962,58.12430826
2.039054931,2.304087427,57.20971204,19.88736256,48.56805939
2.04651212,3.055083886,65.16185419,27.78000436,50.85505446
2.0491743,2.544728598,61.46682784,23.68072424,49.43176111
2.049761035,3.199571015,74.83119969,47.50492345,50.96066804
2.052849958,2.087289126,58.16412915,20.77399717,56.09518681
2.053833873,1.317457425,4.953164048,1.118379096,47.13295139
2.056214273,1.08566304,5.829082645,1.318948428,57.40107918
2.058255311,2.211215804,58.00886264,20.70329088,48.89267815
2.060851875,2.132074594,74.44284032,46.51132103,49.52253343
2.061613064,2.196116693,55.22925251,18.65795889,45.7873068
2.06363713,1.6853088,5.048900263,1.145548599,48.01971487
2.07207648,2.392518182,2.80279016,0.637382612,54.55012348
2.0730631,3.772617996,72.8034804,42.08744682,53.70187561
2.075712219,3.526598752,74.19411148,46.07167611,42.59202614
2.078953638,1.460399472,5.684321685,1.300196039,53.7346566
2.092843326,2.638568889,56.78742225,20.08525759,47.87143562
2.097075754,2.992230684,71.88214015,40.27047548,48.70904262
2.100687471,2.816120553,5.469578352,1.263847247,64.21846224
2.109310388,1.945320566,81.74214395,91.31747443,61.44910335
2.110424247,1.41734091,4.670054676,1.08320888,54.64798884
2.120660571,3.700096165,71.80529754,40.53933949,49.26364642
2.123187924,1.569792764,5.155936235,1.203726199,52.9828259
2.127802704,3.171067397,69.73240119,36.20503636,48.21864293
2.128736904,2.598072573,4.799221334,1.122967937,56.20165284
2.12932697,1.216566859,2.22614452,0.520081684,41.55367535
2.133735335,3.912062228,69.18818508,35.27135547,42.22325456
2.133912563,2.453285945,9.371735534,2.212846733,50.32517698
2.13521235,3.78155126,71.54246494,40.1949809,45.23894873
2.137916648,3.97898377,72.06154412,41.49389977,48.49414844
2.138918543,3.617796726,75.53235469,52.08693578,52.71047681
2.141538542,2.558297148,51.3490765,16.8249522,30.88741252
2.14293725,2.055285889,2.61642321,0.615285541,56.07003847
2.144720826,2.874971972,56.11524899,20.06545877,46.7462074
2.155301162,3.941462648,71.60552374,40.72233195,46.91698615
2.156460631,2.6108795,62.23373666,25.73552229,24.59784588
2.157835839,3.058125616,68.20999028,33.91477316,45.73792701
2.158697027,1.677663585,4.683822645,1.111266726,51.04778342
2.163047242,2.242846463,65.17880711,29.38469409,53.51503031
2.163898768,3.810465125,68.94616474,35.32002232,38.28920713
2.167025063,3.486983753,45.63834645,13.92264559,27.81656514
2.167025188,3.486984009,45.71586056,13.96037921,26.01527452
2.170067889,1.984157427,4.664591417,1.112513148,46.13740472
2.170817737,3.731760718,74.7828169,50.14281316,55.7470024
2.180447804,1.496111254,9.501746544,2.293049437,54.80943602
2.183912226,2.552758319,53.51094786,18.55153002,47.05322184
2.18873338,3.777584782,68.70756924,35.2863869,44.63958652
2.192130299,2.210361961,48.71706665,15.68753705,41.28307044
2.193149908,1.070971633,5.467977944,1.319087456,53.62871132
2.199618619,1.7285793,52.09932692,17.7529268,57.73040225
2.21478653,3.658872538,57.56802504,21.90094681,35.22047517
2.222533324,4.377428798,70.73998601,39.96599787,49.57678059
2.223413725,1.506451111,2.168538368,0.528995614,52.95947786
2.236789921,3.714301027,67.17459659,33.39208741,45.64463589
2.245179836,1.688285962,1.717558842,0.423009489,48.08379388
2.248273226,1.079860977,1.992629809,0.491482536,53.2652369
2.248882857,4.129775436,74.19548899,49.91988158,44.44506891
2.248883085,4.129775865,74.19548656,49.91987856,45.79420092
2.252287667,3.778027912,69.63442688,38.12244284,36.04603122
2.252828062,2.089838122,1.807935849,0.446799288,54.63921457
2.255849051,3.926675962,74.1410468,49.89355832,45.40318551
2.256314206,2.401489733,50.64867898,17.28909522,48.95164651
2.257589188,3.564610943,67.916138,34.96132216,45.32782908
2.263841842,1.885765709,5.20947864,1.296870621,58.81407603
2.265853263,2.412461994,61.30808526,26.01271707,52.5537814
2.269630573,4.009928447,69.34491329,37.82899777,36.38486929
2.269745546,2.89697985,65.76134987,31.67551513,52.97481367
2.273480661,3.792001248,69.6653314,38.5448696,36.93174813
2.279876051,2.04122039,5.654025529,1.418205518,47.63835321
2.280765513,2.679514485,64.12205661,29.54137994,50.08972142
2.281507137,2.685801759,62.49347503,27.52987749,38.92346319
2.283168789,3.36934503,66.38705023,32.81549951,47.4779151
2.283560837,4.104198437,67.42365469,34.5090926,37.93953219
2.286664812,3.100477431,42.57408156,13.19963918,26.18689326
2.286664843,3.100477692,42.6877783,13.2523101,23.18470183
2.286896783,1.384953428,4.697968696,1.180833671,61.40900354
2.291356462,3.93073454,72.49523509,45.64826759,56.90606259
2.296732502,2.148581395,66.11579732,32.58919728,52.5426717
2.296747866,3.02348965,65.16789741,31.18541198,50.01877236
2.300163456,2.049949151,2.495400064,0.629840868,33.30312242
2.306750949,1.194260184,2.057767458,0.520764083,59.37890633
2.307310459,1.255327564,5.881898784,1.493517182,54.58105299
2.307506961,1.14117107,5.219941326,1.324554339,71.19136185
2.308333567,2.20602401,62.30148673,27.62719571,38.00516393
2.309895409,2.433311816,62.00086091,27.2969147,43.51208695
2.309990609,2.670915944,2.499077319,0.633465072,44.38439864
2.311813759,2.208851953,62.11719408,27.45391731,40.63196165
2.312613128,3.947065236,73.19653621,48.11707922,48.35320372
2.31275572,1.577268594,4.562965685,1.159721505,46.30127962
2.313243463,4.262718216,68.73712486,37.35065159,39.17634782
2.319476268,0.997697713,1.863702659,0.474216871,53.1349918
2.321350825,4.244420012,68.24905237,36.55703111,30.46143653
2.326200825,2.884335365,70.71636395,41.77484824,53.12572416
2.326630661,0.87316329,2.633569264,0.672411958,60.00768164
2.326697126,2.960690285,65.79681177,32.52406372,47.22303199
2.328942809,1.50318849,1.679466325,0.429053815,47.5291323
2.330071624,2.910226212,66.3002163,33.35181215,51.51952324
2.331144786,2.726209805,60.16501605,25.53895793,47.24464848
2.331756212,2.673287011,61.91375609,27.45447806,39.17731894
2.332378102,3.262653951,64.62802759,30.90186468,44.50032926
2.333005181,3.497436083,64.74280734,31.07078911,45.20523662
2.337736726,2.587826563,61.54734315,27.1061166,42.66357613
2.338493916,3.201234876,44.13340873,14.25531481,37.11204624
2.338494094,3.201235373,43.13970373,13.76875595,36.40230038
2.347411951,3.504718789,61.57476216,27.24942394,35.95219682
2.352458642,3.215453017,56.09987192,21.99624347,43.30204259
2.353334652,3.948009027,68.20724173,36.982287,37.46595994
2.354446242,1.226455378,2.093914722,0.540876873,42.89365138
2.357114727,3.851945522,77.35756202,66.02721615,49.30207352
2.357148947,3.150242185,58.32482328,24.00334171,38.4102268
2.357619923,1.554755148,4.507538159,1.167797963,53.53092166
2.357686412,3.20561581,74.89204221,54.87200906,54.41208036
2.357686685,3.205616055,74.89203999,54.87200693,54.41206733
2.358487362,3.734820371,45.13862498,14.89069431,21.37139521
2.358487571,3.734820541,45.00926896,14.82360982,23.27216098
2.358884999,2.569146438,4.343088154,1.125629739,50.8585187
2.359971951,4.070441539,65.03573564,31.85090139,43.47458858
2.362325618,4.081796562,63.32861401,29.54863401,35.27449734
2.367804974,1.117981513,5.066306103,1.318950633,61.6217639
2.368714545,3.204130109,4.339704271,1.129436214,48.88431345
2.371050292,1.161024728,1.972338599,0.513039814,53.86087226
2.371951511,3.694314549,64.83743482,31.72514677,39.48751708
2.375332658,4.251696025,73.37760443,49.99237851,43.62828662
2.376581522,1.529417635,2.40783558,0.627902989,52.13135638
2.380445301,1.355491687,1.739062883,0.454113198,47.957834
2.382195909,3.361871528,69.64457326,40.34317895,43.80755986
2.38411387,3.635034932,62.95724349,29.34541287,44.39719366
2.385436717,1.216873026,4.860975431,1.274653984,60.17632489
2.386430636,3.256028125,73.83124353,51.71625981,49.86472098
2.38703216,4.47748379,62.6715963,29.02310199,36.62581561
2.388638354,3.991414592,70.66913921,42.78296893,42.70632997
2.389608442,3.615230597,57.91424877,23.94815695,40.91981288
2.397528868,1.970992698,45.81899273,15.50105008,51.69816563
2.399242159,0.832461532,4.658818341,1.228473245,59.74925462
2.40147031,3.620709198,57.88864757,24.0431566,39.54351002
2.401876785,3.271400366,70.46376305,42.53139766,48.36827305
2.40244273,3.554244316,64.75157063,32.00823875,47.41752349
