Radius,Coil diameter,Pitch angle,Pitch length,Number of turns,Total length,Stress,Strain
24.58190141,8.855592975,8.035832506,21.80541371,1.081631078,23.58541312,1.896488108,0.006669164
3.820807994,7.29808297,85.7130331,320.2551252,1,320.2551252,5.627866438,0.006794406
11.92309712,10.83637132,0.215026587,0.281151574,197.2682649,55.46228313,1.487934848,0.006855007
10.98379693,8.319674592,2.928564834,3.530555231,3.959422022,13.97895813,2.150315568,0.006996753
19.7259749,9.605052148,17.51438127,39.11295341,1.556227344,60.8686476,1.299409692,0.007016988
9.742612689,13.09872971,56.31400229,91.83609445,1.94288807,178.4272523,2.384584977,0.007269909
7.819650871,6.625884091,19.11318147,17.02624944,2.164417529,36.85191275,2.349451718,0.007277482
6.653956158,7.418623749,33.63964773,27.81891538,1.211969059,33.71566468,1.577674985,0.007283029
4.00291522,6.05416636,58.52138839,41.0772083,2.081742849,85.51218464,3.142624566,0.007285634
13.56874554,7.815067952,31.18380496,51.59929771,0.913955672,47.15947083,1.578828917,0.007313375
6.784832353,5.294964433,40.95726534,37.00221835,0.709318759,26.24636758,3.582979938,0.007359243
3.465561284,4.013045108,55.93273727,32.2008079,2.741788922,88.28781838,3.737571564,0.007462284
14.33557359,6.836554841,35.10002349,63.30446576,0.80284569,50.82371751,1.533672462,0.007564353
13.64186277,12.05636927,26.02700766,41.85570884,1,41.85570884,2.468727765,0.007621492
4.32716432,1.059167389,1.073638552,0.509529762,453.0377906,230.8362378,10.46808049,0.007716167
6.88064674,11.75945124,46.78114359,46.00745514,2.334397749,107.3996997,4.47939875,0.007732057
5.582093643,10.2612668,54.47864768,49.132253,6.73841507,331.073514,5.841289717,0.007923493
8.727809475,11.62847717,43.70965252,52.42243371,2.516165067,131.9034964,2.067473276,0.008090078
6.569811714,8.901468753,56.59260353,62.58582999,2.618379923,163.8734807,3.408972684,0.00819168
3.311378138,5.9492432,61.1039795,37.69619639,2.359215131,88.93343692,2.20590458,0.008374471
10.25269422,7.559599522,0.084874424,0.095427248,345.4265345,32.96310367,1.145219754,0.008427715
15.12528629,7.785297575,17.17389222,29.37079235,1.059858746,31.12889114,2.194192443,0.008462782
11.24929761,7.511092763,67.84756295,173.6113663,1.959518316,340.1946521,6.110654845,0.008599928
4.920051174,7.633959804,46.08754326,32.11000105,1.096698108,35.21497739,2.924858349,0.008619669
24.85225018,21.22415004,2.579209821,7.034012226,10.78255496,75.84462341,1.357492296,0.008860577
21.45255467,14.9351991,18.41981774,44.89057734,1,44.89057734,1.336685339,0.008922553
23.14907186,13.86284393,17.96024305,47.14798387,2.323613097,109.5536728,1.446749383,0.009014046
6.637974154,8.950538951,0.187795263,0.136703294,257.1280757,35.15025502,1.67170176,0.009027303
4.411301757,2.121331012,81.48806142,185.1949763,1,185.1949763,5.655153238,0.009081468
7.858284377,10.4175339,0.135304526,0.116599881,311.0512407,36.26853764,2.111811939,0.009110653
18.23716387,7.67371287,11.52419932,23.36349085,1,23.36349085,1.163186612,0.009382367
4.526816068,1.04152041,83.25942144,240.6512234,1,240.6512234,6.039895789,0.009404767
39.96485616,6.573661077,16.81630019,75.89150779,1,75.89150779,1.392453737,0.009490737
4.507060945,0.924088079,2.341694383,1.158037938,298.8158001,346.0400329,10.83951924,0.009615033
5.367462363,5.654200206,62.27984993,64.1813501,1.769034576,113.5390275,8.085434286,0.00965101
20.72272098,8.724942668,55.78551222,191.486222,1.262445697,241.7409569,6.745177733,0.009651887
6.658454894,1.019805133,1.735027764,1.267272189,269.8357625,341.9553573,9.510717952,0.009698831
7.040201749,9.299662236,40.34540427,37.57422255,1.661615239,62.43390079,2.190596559,0.00973093
26.35267144,12.73953002,38.20754311,130.3329041,1.432031698,186.6408499,4.256262437,0.009790319
3.358956703,5.651434008,66.68360206,48.96655894,2.616723815,128.1319609,9.878268895,0.009861621
60.06326316,10.69381582,24.22277865,169.7855388,0.814868657,138.352914,7.962763813,0.009943296
4.824519751,1.219914327,1.987247585,1.051810497,295.1439281,310.4354817,8.974175315,0.009972943
4.150483334,0.896220887,2.558918901,1.165470601,299.1419364,348.6411322,8.686798529,0.009993993
17.38874882,7.12128803,11.2556701,21.74375531,1,21.74375531,4.926424463,0.010089748
20.58419521,22.09376434,28.15397606,69.21474839,3.139745543,217.3166977,4.594467812,0.010108379
9.029457328,6.368016971,43.99789378,54.78311871,1.092104341,59.82888176,2.08935539,0.010110395
4.097247402,6.849227377,53.08632938,34.27044241,7.290631961,249.8531827,1.845555733,0.010130063
5.650861072,8.836824982,40.56371244,30.39282933,1.147038101,34.86173323,1.893941207,0.010138692
14.0474862,17.85702556,43.15342097,82.74950884,3.070199254,254.0574803,2.094252238,0.010260733
4.26981842,6.770484573,49.1765133,31.05486184,1.618093752,50.24967791,7.503630404,0.010338116
4.19063461,0.954137776,85.61864404,343.6577051,1,343.6577051,7.765601746,0.010345093
11.42522396,11.29251749,36.75070526,53.60712193,1,53.60712193,1.323638588,0.010472605
13.90302802,9.846181149,28.73164974,47.88836761,1.528604725,73.20238498,2.246738059,0.010654725
24.93726497,21.88868929,29.99927888,90.45976134,1,90.45976134,1.452544864,0.010663106
4.363546422,7.288449494,50.96207144,33.81134985,1.414824963,47.8371418,8.131273469,0.011058519
25.44123669,23.03902604,1.660822199,4.634898797,17.07124256,79.1234816,0.610602424,0.011289826
3.688379738,5.910380873,41.06411528,20.19109719,1.865141298,37.65924921,2.519469561,0.011388119
4.305574477,6.306869038,25.89456593,13.1329256,2.213881248,29.0747377,3.175112206,0.011561248
28.62808991,18.23576398,2.316336976,7.275922126,9.166582061,66.69533723,1.094333323,0.011773032
15.27406961,11.18410136,0.528255937,0.884848042,42.19808422,37.3388922,1.38578656,0.011822937
22.62142132,15.5649327,7.033447137,17.53616206,3.569587844,62.59687094,1.365877103,0.011900937
9.156061187,13.6545127,79.70372224,316.6798446,1,316.6798446,0.96697051,0.011956107
6.766804393,5.047227537,0.273964076,0.203300191,58.97335621,11.98929459,1.077190431,0.011996603
6.501800441,8.741157882,39.44534083,33.61040062,1.251189549,42.05298198,6.312957575,0.012110331
5.967782898,9.884010695,35.28302568,26.53245925,2.528196701,67.07927595,1.676175109,0.012134338
8.311609929,8.200766531,0.096179891,0.08766517,437.1372343,38.32170976,2.412119345,0.012135807
5.542970283,10.22401371,48.05674932,38.75699669,2.78168647,107.8098133,2.135629465,0.012224613
4.722970733,6.601177922,40.48645207,25.33296788,1.288774159,32.64847439,2.562013288,0.012357743
7.438447592,7.695529708,34.79389376,32.47577523,1.139192719,36.99616669,2.781657065,0.012916416
4.790683083,7.371509926,40.03979857,25.2931785,1.55510209,39.33347475,7.620581565,0.013161674
4.662219189,7.006451125,23.87858241,12.9680327,2.280639703,29.57541025,4.312328073,0.013342252
25.8341262,16.18548032,4.127371605,11.7132311,5.20405582,60.95630846,0.656382225,0.013530134
12.81762742,9.913656205,43.4255228,76.2266486,1.931523615,147.2335719,1.952403314,0.013684121
3.912656478,6.360364821,65.69507929,54.43493896,1.402991687,76.37176683,8.407420134,0.013972201
24.28448166,16.74572863,5.835335254,15.59398509,5.110463074,79.69248495,1.119820592,0.014047257
4.388555979,7.29084751,59.40714596,46.63854915,0.845556255,39.43551696,16.98972993,0.014342181
3.710316566,5.931589598,61.56534641,43.05350468,2.128284948,91.63012597,5.306072486,0.014507236
9.613239358,7.433178833,0.169380961,0.178563565,136.8193791,24.43095616,2.012444555,0.014541755
