Radius,Coil_diameter,Pitch_angle,Pitch_length,index1,index2,index3,index4,type,shift
22.2568859817102,8.07270897418522,8.99660788899706,22.1406488113876,2,5,2,5,2,1
16.9639365944472,7.06247921219074,10.1916838245782,19.1621574982378,2,3,2,5,2,1
4.8784084929048,3.05895861884234,12.8306114497329,6.98117477713896,1,2,1,1,1,1
2.30750696079377,1.14117106970149,5.21994132610265,1.32455433871499,1,1,1,5,1,5
2.57880518509704,3.14737143564776,52.0293896737236,20.7609779260637,2,1,1,4,1,5
13.7182703121142,6.05807152186508,13.7386406371564,21.0735328171224,2,1,2,5,2,1
4.35431352480787,5.51996396145566,39.0104933833882,22.1631455551086,2,2,1,2,2,3
15.6782373133142,7.56079808443307,21.1588194326948,38.127796360665,2,3,3,5,2,1
6.77055246173812,6.42276852378678,26.6010093301041,21.303700853621,2,2,3,2,2,2
4.04411709930307,4.82416255875999,37.8271935644505,19.7292909667571,2,1,1,2,2,3
3.96521191193364,5.20931894991315,62.228951331959,47.3118432342045,1,3,2,4,1,2
15.6114410293893,6.77310650322313,8.31983107654095,14.3443965440471,2,1,4,4,1,1
16.3272936687541,6.46393362914372,9.90811044258495,17.9193338682624,2,2,3,5,1,1
5.28592017258042,7.48584594131472,45.5989603637904,33.9141714897378,3,1,1,4,1,4
4.72875551614236,6.25086657936851,37.8755130386811,23.1094995127214,2,2,2,2,2,4
15.0954704380062,8.26476869624495,14.3103154416474,24.1945463216994,3,3,1,5,2,1
3.1753692712065,4.99289109279779,44.1369985447034,19.3592822429286,2,1,1,2,2,4
4.01992196040824,4.38679648912957,62.5120348574397,48.5448956584385,1,3,1,4,1,2
13.9448012141783,7.86963184229791,23.3909792569805,37.8992180669796,2,3,4,4,1,2
1.99405040516151,0.937463542246655,2.36364838044564,0.517157353443086,1,1,1,4,1,5
12.8678739221714,8.85106326130083,24.9519727723744,37.6190741329526,3,2,3,5,2,1
2.71037645351141,4.69268898942114,47.0834428423233,18.3156277813195,2,1,1,2,2,5
13.6394539015993,7.14906082279492,22.4458247961429,35.4028803336726,2,2,4,4,1,1
3.71533595340502,5.64621900808969,43.0409682460777,21.799994229827,2,2,1,2,2,4
9.78792954089753,6.76458118868232,23.8898008871871,27.2396756797661,2,3,3,3,2,2
21.9766756824024,8.81221611633707,7.26948160812579,17.6141560299217,2,4,5,5,1,1
15.6395483884591,7.0393457298462,8.7692451885443,15.1584022693719,2,1,4,4,2,1
17.5348112498107,6.21885307022741,13.2183358378765,25.8783888234531,1,3,4,3,2,1
13.4946496974465,7.53153621486116,22.9002206322723,35.81682313449,2,2,4,4,2,1
13.0309539293153,8.7578129988793,18.5505362143924,27.4756174420832,3,2,4,4,1,1
2.63059150177909,3.40919589490863,49.7054058036102,19.4934591437765,2,1,1,3,1,5
9.97518148565303,7.0848305160356,39.2820113767596,51.2667889894498,2,2,3,5,2,1
7.94759768489969,8.06340724838979,30.2569326314258,29.1300456868315,3,2,3,3,2,3
